district,area,unit_price,rooms,build_year,near_subway,url,crawl_time
招商蛇口天青府,143.0,12588,,2021,是,https://cs.58.com/ershoufang/3556595734029315x.shtml?auction=201&hpType=60&entry=102&position=68&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_68&from=from_esf_List_search&index=74,2025-12-20 09:48:51
金地都会风华,141.03,9573,,2021,是,https://cs.58.com/ershoufang/4034960134990862x.shtml?auction=220&hpType=60&entry=102&position=67&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_67&from=from_esf_List_search&index=73,2025-12-20 09:48:53
MOMA当代广场,110.82,6479,,2021,是,https://cs.58.com/ershoufang/4358151732665357x.shtml?auction=201&hpType=60&entry=102&position=66&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_66&from=from_esf_List_search&index=72,2025-12-20 09:48:55
中粮鸿云,113.67,6933,,1903,是,https://cs.58.com/ershoufang/4328351575695373x.shtml?auction=201&hpType=60&entry=102&position=65&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_65&from=from_esf_List_search&index=71,2025-12-20 09:48:57
鑫苑木莲世家,160.74,15429,,2021,是,https://cs.58.com/ershoufang/4136505585015814x.shtml?auction=201&hpType=60&entry=102&position=64&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_64&from=from_esf_List_search&index=70,2025-12-20 09:48:59
中天栖溪里,131.38,13092,,2021,是,https://cs.58.com/ershoufang/3308827987665933x.shtml?auction=201&hpType=60&entry=102&position=63&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_63&from=from_esf_List_search&index=69,2025-12-20 09:49:01
星城映象,117.67,5388,,2021,是,https://cs.58.com/ershoufang/4211636777397254x.shtml?auction=201&hpType=60&entry=102&position=62&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_62&from=from_esf_List_search&index=68,2025-12-20 09:49:03
华润凤凰城(二期),109.0,6413,,2021,是,https://cs.58.com/ershoufang/4333811464855553x.shtml?auction=220&hpType=60&entry=102&position=61&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_61&from=from_esf_List_search&index=67,2025-12-20 09:49:05
万科里金域国际(三期),100.91,17640,,2021,是,https://cs.58.com/ershoufang/4360549760097287x.shtml?auction=201&hpType=60&entry=102&position=60&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_60&from=from_esf_List_search&index=66,2025-12-20 09:49:06
长房时代城,91.04,7250,,1915,是,https://cs.58.com/ershoufang/3574445600251915x.shtml?auction=201&hpType=60&entry=102&position=59&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_59&from=from_esf_List_search&index=65,2025-12-20 09:49:08
三一街区,126.49,5218,,2080,是,https://cs.58.com/ershoufang/4348944520801286x.shtml?auction=201&hpType=60&entry=102&position=58&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_58&from=from_esf_List_search&index=64,2025-12-20 09:49:09
宁华星湖湾(二期),99.0,6667,,1974,是,https://cs.58.com/ershoufang/4299317197478923x.shtml?auction=201&hpType=60&entry=102&position=57&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_57&from=from_esf_List_search&index=63,2025-12-20 09:49:11
欧莱雅郡(西区),84.0,7500,,2021,是,https://cs.58.com/ershoufang/3969521767554055x.shtml?auction=201&hpType=60&entry=102&position=56&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_56&from=from_esf_List_search&index=62,2025-12-20 09:49:12
荣盛花语城,88.0,6796,,2042,是,https://cs.58.com/ershoufang/4020423123902472x.shtml?auction=220&hpType=60&entry=102&position=55&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_55&from=from_esf_List_search&index=61,2025-12-20 09:49:14
绿荫家园,120.97,5523,,2021,否,https://cs.58.com/ershoufang/3114559701884943x.shtml?auction=201&hpType=60&entry=102&position=54&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_54&from=from_esf_List_search&index=60,2025-12-20 09:49:16
中航城国际社区(南区),97.88,7356,,2021,是,https://cs.58.com/ershoufang/4009405014367242x.shtml?auction=201&hpType=60&entry=102&position=53&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_53&from=from_esf_List_search&index=59,2025-12-20 09:49:18
韭菜园嘉苑,65.49,10995,,2031,是,https://cs.58.com/ershoufang/4125421540663311x.shtml?auction=201&hpType=60&entry=102&position=52&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_52&from=from_esf_List_search&index=58,2025-12-20 09:49:20
爱琴海岸,123.38,6468,,2021,是,https://cs.58.com/ershoufang/3963033444314117x.shtml?auction=201&hpType=60&entry=102&position=51&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_51&from=from_esf_List_search&index=57,2025-12-20 09:49:22
中交麓江春望(新房),107.0,10281,,2021,否,https://cs.58.com/ershoufang/3262170122117127x.shtml?auction=201&hpType=60&entry=102&position=50&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_50&from=from_esf_List_search&index=56,2025-12-20 09:49:24
荣泰广场,132.96,11884,,2040,是,https://cs.58.com/ershoufang/4282536204099597x.shtml?auction=220&hpType=60&entry=102&position=49&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_49&from=from_esf_List_search&index=55,2025-12-20 09:49:26
辉煌国际城(二期),121.51,8889,,2021,是,https://cs.58.com/ershoufang/4098897997323278x.shtml?auction=201&hpType=60&entry=102&position=48&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_48&from=from_esf_List_search&index=54,2025-12-20 09:49:27
中粮鸿云,107.44,7335,,1903,是,https://cs.58.com/ershoufang/3306072324580361x.shtml?auction=201&hpType=60&entry=102&position=47&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_47&from=from_esf_List_search&index=53,2025-12-20 09:49:29
湘域中央,128.64,14693,,1993,是,https://cs.58.com/ershoufang/4332219473927169x.shtml?auction=201&hpType=60&entry=102&position=46&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_46&from=from_esf_List_search&index=52,2025-12-20 09:49:31
恒大御景天下,105.9,6119,,2021,是,https://cs.58.com/ershoufang/4126534441558016x.shtml?auction=201&hpType=60&entry=102&position=45&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_45&from=from_esf_List_search&index=51,2025-12-20 09:49:33
保利麓谷林语,137.76,8348,,2065,是,https://cs.58.com/ershoufang/4326154206519307x.shtml?auction=201&hpType=60&entry=102&position=44&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_44&from=from_esf_List_search&index=50,2025-12-20 09:49:34
